Dataset,Target,Model,Horizon,RMSE_Baseline,RMSE_Actor,Delta_RMSE,MAE_Baseline,MAE_Actor,Delta_MAE,R2_Baseline,R2_Actor,Delta_R2,p_RMSE,p_MAE,RMSE_Significant_Improvement,MAE_Significant_Improvement
BPIC 2012,Avg_Remaining_Time,XGBoost,1,13.471,8.989,4.482,10.912,7.339,3.574,0.975,0.989,0.014,0.001,0.001,True,True
BPIC 2012,Avg_Remaining_Time,XGBoost,3,35.564,25.878,9.687,28.337,21.156,7.182,0.824,0.907,0.083,0.001,0.001,True,True
BPIC 2012,Avg_Remaining_Time,XGBoost,7,66.552,56.48,10.073,57.723,50.085,7.638,0.33,0.514,0.185,0.001,0.0029,True,True
BPIC 2012,Avg_Remaining_Time,LightGBM,1,12.922,9.279,3.644,10.645,7.251,3.394,0.977,0.988,0.011,0.001,0.001,True,True
BPIC 2012,Avg_Remaining_Time,LightGBM,3,35.098,24.461,10.637,28.988,20.35,8.639,0.829,0.917,0.088,0.001,0.001,True,True
BPIC 2012,Avg_Remaining_Time,LightGBM,7,69.223,52.106,17.117,61.903,44.612,17.291,0.275,0.589,0.314,0.001,0.001,True,True
BPIC 2012,Avg_Remaining_Time,GRU+Attn,1,10.889,12.387,-1.499,9.49,10.83,-1.34,0.971,0.96,-0.011,0.8838,0.8389,False,False
BPIC 2012,Avg_Remaining_Time,GRU+Attn,3,30.721,41.645,-10.925,28.016,39.561,-11.545,0.73,0.496,-0.234,0.9971,0.9971,False,False
BPIC 2012,Avg_Remaining_Time,GRU+Attn,7,89.674,99.136,-9.462,88.982,98.519,-9.537,-3.343,-4.321,-0.979,0.9971,0.9971,False,False
BPIC 2012,Avg_Remaining_Time,LSTM+Attn,1,11.473,13.024,-1.551,9.928,11.559,-1.631,0.967,0.958,-0.009,0.8838,0.9033,False,False
BPIC 2012,Avg_Remaining_Time,LSTM+Attn,3,28.624,41.521,-12.897,25.905,39.422,-13.517,0.759,0.501,-0.258,0.9971,0.998,False,False
BPIC 2012,Avg_Remaining_Time,LSTM+Attn,7,87.113,97.366,-10.252,86.507,96.759,-10.252,-3.116,-4.14,-1.024,0.9814,0.9814,False,False
BPIC 2012,Avg_Remaining_Time,SARIMAX,1,19.221,31.9947,-12.773700000000002,14.0459,24.6591,-10.613199999999999,0.949265,0.859424,-0.08984100000000006,0.99127,0.99533,False,False
BPIC 2012,Avg_Remaining_Time,SARIMAX,3,25.7217,27.7028,-1.9811000000000014,21.0882,23.5064,-2.418199999999999,0.908091,0.893387,-0.01470399999999994,0.97637,0.940462,False,False
BPIC 2012,Avg_Remaining_Time,SARIMAX,7,49.939,84.6107,-34.671699999999994,39.553,70.4362,-30.883200000000002,0.622663,-0.0831797,-0.7058426999999999,0.999996,0.999998,False,False
BPIC 2012,Avg_Remaining_Time,ARX-HAC,1,21.2915,35.2098,-13.918300000000002,15.6297,25.295,-9.665300000000002,0.937746,0.829752,-0.10799399999999992,0.977302,0.982091,False,False
BPIC 2012,Avg_Remaining_Time,ARX-HAC,3,22.1899,27.5817,-5.3918,18.1103,19.8149,-1.7046000000000028,0.931598,0.894318,-0.03728000000000009,0.701096,0.580304,False,False
BPIC 2012,Avg_Remaining_Time,ARX-HAC,7,58.9559,81.5459,-22.590000000000003,54.156,74.4716,-20.315599999999996,0.474099,-0.00613006,-0.48022906,0.999998,0.999997,False,False
BPIC 2011,Avg_Elapsed_Time,XGBoost,1,13.935,13.922,0.012,3.886,3.853,0.033,0.496,0.497,0.001,0.0068,0.002,True,True
BPIC 2011,Avg_Elapsed_Time,XGBoost,3,11.646,11.601,0.044,5.565,5.316,0.249,0.651,0.653,0.003,0.0029,0.001,True,True
BPIC 2011,Avg_Elapsed_Time,XGBoost,7,15.386,15.484,-0.098,7.429,7.587,-0.158,0.4,0.393,-0.008,1.0,1.0,False,False
BPIC 2011,Avg_Elapsed_Time,LightGBM,1,13.928,13.913,0.016,3.908,3.885,0.023,0.496,0.498,0.001,0.0049,0.0244,True,True
BPIC 2011,Avg_Elapsed_Time,LightGBM,3,11.653,11.592,0.061,5.748,5.427,0.321,0.65,0.654,0.004,0.001,0.001,True,True
BPIC 2011,Avg_Elapsed_Time,LightGBM,7,15.243,15.437,-0.194,7.471,7.601,-0.13,0.411,0.396,-0.015,1.0,1.0,False,False
BPIC 2011,Avg_Elapsed_Time,GRU+Attn,1,14.48,14.475,0.005,4.135,4.14,-0.005,0.49,0.49,0.0,0.1162,0.958,False,False
BPIC 2011,Avg_Elapsed_Time,GRU+Attn,3,12.279,12.191,0.088,5.845,5.783,0.062,0.636,0.641,0.005,0.0244,0.042,True,True
BPIC 2011,Avg_Elapsed_Time,GRU+Attn,7,17.004,16.469,0.535,9.047,8.454,0.593,0.315,0.357,0.042,0.001,0.001,True,True
BPIC 2011,Avg_Elapsed_Time,LSTM+Attn,1,14.478,14.478,0.0,4.142,4.145,-0.003,0.49,0.49,0.0,0.5,0.7217,False,False
BPIC 2011,Avg_Elapsed_Time,LSTM+Attn,3,12.285,12.219,0.067,5.852,5.8,0.052,0.636,0.64,0.004,0.0801,0.1162,False,False
BPIC 2011,Avg_Elapsed_Time,LSTM+Attn,7,17.03,16.685,0.346,9.082,8.662,0.42,0.313,0.34,0.028,0.0049,0.0029,True,True
BPIC 2011,Avg_Elapsed_Time,SARIMAX,1,13.8138,13.9386,-0.12479999999999869,3.83715,3.85228,-0.015130000000000088,0.504736,0.49575,-0.008985999999999938,0.972514,0.873128,False,False
BPIC 2011,Avg_Elapsed_Time,SARIMAX,3,14.1698,11.8105,2.359300000000001,6.95649,5.66223,1.2942599999999995,0.482849,0.640726,0.15787700000000005,4.15477e-05,4.24124e-05,True,True
BPIC 2011,Avg_Elapsed_Time,SARIMAX,7,15.7402,16.1437,-0.4034999999999993,8.57493,8.31316,0.2617700000000003,0.372429,0.339844,-0.03258500000000003,1.11134e-06,1.62939e-06,False,True
BPIC 2011,Avg_Elapsed_Time,ARX-HAC,1,13.8124,13.94,-0.12759999999999927,3.83814,3.85363,-0.015489999999999782,0.504839,0.495647,-0.009192000000000033,0.97455,0.879712,False,False
BPIC 2011,Avg_Elapsed_Time,ARX-HAC,3,13.4361,11.8976,1.538499999999999,6.59914,5.73458,0.86456,0.53502,0.635406,0.10038599999999998,0.0163528,0.0117152,True,True
BPIC 2011,Avg_Elapsed_Time,ARX-HAC,7,18.7552,16.2781,2.4771,10.585,8.2404,2.3446000000000016,0.108989,0.328804,0.21981499999999998,3.28113e-13,7.95525e-13,True,True
BPIC 2011,Avg_Remaining_Time,XGBoost,1,0.571,0.609,-0.038,0.415,0.5,-0.085,1.0,1.0,-0.0,0.9951,1.0,False,False
BPIC 2011,Avg_Remaining_Time,XGBoost,3,1.31,1.014,0.297,0.977,0.808,0.169,0.999,0.999,0.0,0.001,0.001,True,True
BPIC 2011,Avg_Remaining_Time,XGBoost,7,2.001,1.556,0.446,1.695,1.266,0.428,0.997,0.998,0.001,0.001,0.001,True,True
BPIC 2011,Avg_Remaining_Time,LightGBM,1,0.684,0.742,-0.059,0.502,0.617,-0.115,1.0,1.0,-0.0,0.9756,1.0,False,False
BPIC 2011,Avg_Remaining_Time,LightGBM,3,1.36,1.222,0.137,1.055,0.945,0.109,0.999,0.999,0.0,0.002,0.002,True,True
BPIC 2011,Avg_Remaining_Time,LightGBM,7,2.238,2.144,0.094,1.922,1.808,0.114,0.997,0.997,0.0,0.0967,0.0654,False,False
BPIC 2011,Avg_Remaining_Time,GRU+Attn,1,0.57,0.578,-0.007,0.435,0.443,-0.007,1.0,1.0,-0.0,0.7539,0.6152,False,False
BPIC 2011,Avg_Remaining_Time,GRU+Attn,3,1.101,1.15,-0.049,0.881,0.931,-0.05,0.999,0.999,-0.0,0.7842,0.8838,False,False
BPIC 2011,Avg_Remaining_Time,GRU+Attn,7,1.32,1.754,-0.434,1.044,1.432,-0.388,0.999,0.998,-0.001,0.9951,0.998,False,False
BPIC 2011,Avg_Remaining_Time,LSTM+Attn,1,0.622,0.657,-0.034,0.473,0.499,-0.026,1.0,1.0,-0.0,0.6523,0.7217,False,False
BPIC 2011,Avg_Remaining_Time,LSTM+Attn,3,1.034,1.085,-0.051,0.842,0.878,-0.036,0.999,0.999,-0.0,0.6152,0.5,False,False
BPIC 2011,Avg_Remaining_Time,LSTM+Attn,7,1.222,1.627,-0.404,0.963,1.313,-0.35,0.999,0.998,-0.001,0.9971,0.9971,False,False
BPIC 2011,Avg_Remaining_Time,SARIMAX,1,6.6381,1.7904,4.8477,2.68416,1.21468,1.46948,0.973875,0.998099,0.024223999999999912,8.42299e-07,8.06164e-07,True,True
BPIC 2011,Avg_Remaining_Time,SARIMAX,3,18.3133,2.1735,16.1398,7.2478,1.64714,5.6006599999999995,0.797094,0.997142,0.200048,1.03362e-14,3.26717e-14,True,True
BPIC 2011,Avg_Remaining_Time,SARIMAX,7,11.2661,4.71868,6.54742,5.25088,3.79066,1.4602200000000005,0.92006,0.985976,0.06591599999999997,0.808513,0.711372,False,False
BPIC 2011,Avg_Remaining_Time,ARX-HAC,1,6.62009,1.76845,4.85164,2.67645,1.20055,1.4759,0.974017,0.998146,0.024128999999999956,4.48319e-07,4.66548e-07,True,True
BPIC 2011,Avg_Remaining_Time,ARX-HAC,3,19.7072,1.47971,18.22749,7.78371,1.14675,6.63696,0.765029,0.998675,0.23364600000000002,1.67028e-26,1.85648e-26,True,True
BPIC 2011,Avg_Remaining_Time,ARX-HAC,7,26.1652,10.3325,15.832699999999999,10.3278,7.25818,3.0696199999999996,0.568814,0.932761,0.3639469999999999,0.569577,0.577945,False,False
